MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Sale Type,Sale Condition,SalePrice,SalePrice_log,HasPool,HasScreenPorch,Has3SsnPorch,HasEncloseddPorch,HasOpendPorch,HasOpenPorch,HasWoodDeck,HasGarage,HasMasonry,HasBsmt,Total Baths AbvGr,Total Baths Bsmt,Gr Liv Area 2,Gr Liv Area 3
60,RL,4.189654742026425,9.082052351674651,IR1,Lvl,Gilbert,Norm,1Fam,2Story,7,5,2000,2000,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,5.707110264748875,Unf,6.859614903654202,GasA,Ex,Y,SBrkr,7.721791776817535,4,1,Gd,8,Typ,1,TA,BuiltIn,2000.0,Fin,2.0,6.318968113746434,TA,TA,Y,5.41610040220442,WD ,Normal,236000,12.371587084007746,0,0,0,0,1,1,1,1,0,1,2.5,0.0,59.626068244526905,460.42008345454906
20,RL,4.330733340286331,9.227295812625597,Reg,Lvl,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,6.259581464064923,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,5.37989735354046,GasA,TA,Y,SBrkr,7.362645270417825,2,1,Gd,5,Typ,1,Gd,Attchd,1951.0,Unf,2.0,5.993961427306569,TA,TA,Y,0.0,WD ,Normal,155000,11.951180395901384,0,0,0,0,0,0,0,1,1,0,1.5,0.0,54.208545378005965,399.11829024360566
160,RM,3.091042453358316,7.601901959875166,Reg,Lvl,MeadowV,Norm,Twnhs,2Story,4,5,1970,1970,Gable,CemntBd,CmentBd,BrkFace,4.394449154672439,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,6.304448802421981,GasA,Fa,Y,SBrkr,6.996681488176539,3,1,TA,6,Typ,0,NoFireplace,Attchd,1970.0,Unf,1.0,5.659482215759621,TA,TA,Y,0.0,WD ,Normal,75000,11.225243392518449,0,0,0,0,0,0,0,1,1,0,1.5,0.0,48.95355184699227,342.51240998834123
20,RL,4.262679877041316,9.26416545867109,IR1,Lvl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.926577033222725,Unf,7.243512974665482,GasA,Gd,Y,SBrkr,7.438971592395862,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2.0,6.104793232414985,TA,TA,Y,0.0,WD ,Normal,165500,12.016726473799254,0,0,0,0,1,1,0,1,0,1,1.5,0.5,55.33829835247262,411.66002941557053
50,RL,3.828641396489095,8.923591197573002,Reg,Lvl,OldTown,Norm,1Fam,1.5Fin,5,8,1925,1925,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,0.0,Unf,6.617402977974478,GasA,TA,Y,SBrkr,7.05617528410041,3,1,TA,5,Typ,0,NoFireplace,Detchd,1932.0,Unf,1.0,5.666426688112432,Fa,TA,N,4.442651256490317,WD ,Normal,114000,11.643953727376632,0,0,0,1,0,0,1,1,0,0,1.0,0.0,49.78960963994951,351.32421294641927
70,RM,4.060443010546419,9.20099685697303,Reg,Lvl,OldTown,Norm,1Fam,2Story,4,4,1925,1925,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,6.532334292222349,GasA,Fa,N,SBrkr,7.192182058713246,3,1,TA,8,Typ,0,NoFireplace,Detchd,1940.0,Unf,1.0,5.351858133476067,TA,TA,Y,0.0,WD ,Family,107000,11.580584113444043,0,0,0,1,1,1,0,1,0,0,1.0,0.0,51.7274827656767,372.03347348969857
60,RL,4.290459441148391,9.25569607369698,IR1,HLS,Gilbert,Norm,1Fam,2Story,8,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.795705775173515,GasA,Ex,Y,SBrkr,7.496652438168283,3,1,Gd,8,Typ,1,Gd,Attchd,2005.0,Fin,3.0,6.68586094706836,TA,TA,Y,0.0,WD ,Normal,239900,12.387977448827789,0,0,0,0,1,1,0,1,0,0,2.5,0.0,56.19979777869446,421.31035104221434
120,RL,4.02535169073515,8.973731569708402,Reg,Lvl,SawyerW,Norm,TwnhsE,1Story,6,5,1993,1993,Gable,Plywood,Plywood,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,5.707110264748875,Unf,7.090076835776092,GasA,Ex,Y,SBrkr,7.090076835776092,2,1,Gd,5,Typ,0,NoFireplace,Attchd,1993.0,RFn,2.0,6.274762021241939,TA,TA,Y,0.0,WD ,Normal,153900,11.94405831982697,0,0,0,0,1,1,0,1,0,1,2.0,0.0,50.26918953720872,356.4124162910014
160,FV,3.58351893845611,8.29853954537488,IR1,Lvl,Somerst,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.439350371100098,GasA,Ex,Y,SBrkr,7.131698510466912,2,1,Gd,5,Typ,0,NoFireplace,Detchd,2006.0,Fin,2.0,6.439350371100098,TA,TA,Y,0.0,WD ,Normal,171900,12.05466819137094,0,0,0,0,1,1,0,1,0,0,2.5,0.0,50.86112364419598,362.7261997339859
20,RL,4.564348191467836,9.519221155568957,Reg,Lvl,Timber,Norm,1Fam,1Story,8,5,2005,2006,Gable,VinylSd,VinylSd,Stone,5.293304824724492,Gd,TA,PConc,Ex,Gd,Av,GLQ,7.208600337960199,Unf,7.455298485683291,GasA,Ex,Y,SBrkr,7.581209826196346,3,1,Gd,8,Typ,2,Gd,Attchd,2005.0,Fin,3.0,6.572282542694008,TA,TA,Y,5.153291594497779,New,Partial,320000,12.676076274775909,0,0,0,0,1,1,1,1,1,1,2.0,1.0,57.474742428816036,435.7280820594442
